[16/3/2026, 07:59:40] SAPAN-HK: ‎Messages and calls are end-to-end encrypted. Only people in this chat can read, listen to, or share them.
[16/3/2026, 07:59:40] Johan: ‎Johan created this group
[24/3/2026, 21:20:10] SAPAN-HK: ‎Gusini added you
‎[24/3/2026, 21:26:05] Gusini: ‎<attached: 00003004-PHOTO-2026-03-24-21-26-05.jpg>
[24/3/2026, 21:26:40] ~ Sapan: Sorry for the delay will be done Tomm morning
[24/3/2026, 21:26:52] ~ Sapan: Some technical issue
[25/3/2026, 11:57:58] ~ Sapan: Need to transfer here only
[25/3/2026, 11:58:01] ~ Sapan: Right
[25/3/2026, 11:58:43] Adam Yogesh: yes first test small amount please
‎[25/3/2026, 12:03:19] ~ Sapan: ‎<attached: 00003010-PHOTO-2026-03-25-12-03-19.jpg>
[25/3/2026, 12:04:20] Adam Yogesh: received
‎[25/3/2026, 12:24:17] ~ Sapan: ‎<attached: 00003012-PHOTO-2026-03-25-12-24-17.jpg>
[25/3/2026, 12:24:25] ~ Sapan: Done
[25/3/2026, 12:24:46] Adam Yogesh: received
‎[25/3/2026, 22:02:02] Gusini: ‎<attached: 00003015-PHOTO-2026-03-25-22-02-02.jpg>
‎[26/3/2026, 08:04:25] ~ Sapan: ‎<attached: 00003016-PHOTO-2026-03-26-08-04-25.jpg>
‎[26/3/2026, 08:17:31] Johan: 已付12公斤 ‎<attached: 00003017-PHOTO-2026-03-26-08-17-31.jpg>
[26/3/2026, 08:17:41] Johan: @⁨~Sapan⁩
[26/3/2026, 10:06:25] ~ Sapan: Hello u have 30 kgs bar?
[26/3/2026, 10:06:56] ANGEL BOSS: +1same
[26/3/2026, 16:59:19] ~ Sapan: Buy fix limit 64.5 for 10 kgs
[26/3/2026, 16:59:34] Lin: Ok
[26/3/2026, 17:00:04] Lin: Working
‎[26/3/2026, 21:28:05] Gusini: ‎<attached: 00003024-PHOTO-2026-03-26-21-28-05.jpg>
[26/3/2026, 21:45:01] Adam Yogesh: TKgNpBkN6gn4Txs8PMQrhJfC9enL3wZvcB
[26/3/2026, 21:45:14] Adam Yogesh: THIS IS OUR *NEW WALLET* FOR NEXT PAYMENT PLEASE SEND HERE
‎[26/3/2026, 21:45:26] Adam Yogesh: ‎<attached: 00003027-AUDIO-2026-03-26-21-45-26.opus>
[26/3/2026, 21:45:40] Adam Yogesh: ‎Adam Yogesh pinned a message
[27/3/2026, 04:46:54] ~ Sapan: Kk
[27/3/2026, 07:45:10] ~ Sapan: Gm price pls
[30/3/2026, 13:50:43] ~ Sapan: Can we book 10 kgs
